WSA	FN	North	PD	Dist	Elev	Inc	lnPD	lnDist	lnInc
0.0	1	1.0	0.053	0.915	20.0	19.894	-2.9374633	-0.088831194	2.9904182
0.0	1	1.0	0.233	7.725	21.0	19.894	-1.4567169	2.0444617	2.9904182
0.0	1	1.0	0.087	1.803	20.0	19.894	-2.441847	0.5894519	2.9904182
1.0	0	1.0	0.049	20.368	25.908	23.493	-3.015935	3.0139651	3.1567025
0.0	0	1.0	0.04	3.508	20.0	23.493	-3.218876	1.255046	3.1567025
0.0	0	1.0	0.645	10.68	26.0	23.493	-0.438505	2.368373	3.1567025
0.0	0	1.0	0.031	6.792	28.0	23.493	-3.473768	1.9157454	3.1567025
1.0	1	1.0	0.02	21.757	24.0	23.493	-3.912023	3.0799356	3.1567025
0.0	1	1.0	0.041	54.976	35.0	23.493	-3.194183	4.006897	3.1567025
0.0	1	1.0	0.026	1.475	45.0	23.493	-3.6496587	0.38865802	3.1567025
0.0	1	1.0	0.421	2.999	44.0	23.493	-0.86512244	1.0982789	3.1567025
0.0	1	1.0	0.801	2.585	44.0	23.493	-0.22189434	0.9497255	3.1567025
0.0	0	1.0	1.65	0.76	45.0	23.493	0.5007753	-0.27443686	3.1567025
1.0	0	1.0	0.493	2.626	32.0	27.469	-0.7072461	0.96546173	3.3130581
1.0	0	1.0	0.024	0.415	28.0	22.541	-3.7297015	-0.8794768	3.115336
	0	1.0	0.029	4.641	38.0	22.541	-3.5404594	1.5349299	3.115336
0.0	0	1.0	5.828	4.231	30.0	22.541	1.7626739	1.4424384	3.115336
0.0	0	1.0	0.606	1.345	26.0	22.541	-0.5008753	0.29639402	3.115336
0.0	0	1.0	0.128	6.804	24.0	22.541	-2.0557249	1.9175106	3.115336
0.0	0	1.0	0.048	24.738	36.0	22.541	-3.0365543	3.2083406	3.115336
1.0	0	1.0	0.066	0.944	26.0	22.541	-2.7181005	-0.05762911	3.115336
0.0	0	1.0	4.917	5.419	20.0	22.541	1.5926986	1.6899114	3.115336
0.0	0	1.0	0.007	5.206	33.0	22.541	-4.961845	1.6498117	3.115336
0.0	1	1.0	0.021	14.503	34.0	22.541	-3.8632329	2.6743555	3.115336
0.0	0	1.0	0.078	6.464	32.0	22.541	-2.5510464	1.8662484	3.115336
0.0	0	1.0	0.032	5.029	28.0	22.541	-3.4420192	1.6152211	3.115336
0.0	0	1.0	0.315	20.769	32.0	22.541	-1.1551826	3.0334613	3.115336
0.0	0	1.0	0.023	8.113	30.0	25.417	-3.7722611	2.0934677	3.2354183
0.0	0	1.0	0.145	8.405	32.0	25.417	-1.9310216	2.1288266	3.2354183
1.0	0	1.0	0.079	11.572	27.0	25.417	-2.5383074	2.4485884	3.2354183
0.0	1	1.0	0.014	28.061	30.0	25.417	-4.2686977	3.3343806	3.2354183
0.0	0	1.0	0.102	6.35	28.0	25.417	-2.2827826	1.8484548	3.2354183
